"Title: Health Insurance Coverage of Adults Ages 19-64 | KFF"
"Timeframe: 2013"
"Location","Employer","Non-Group","Medicaid","Medicare","Military","Uninsured","Total",Footnotes
"United States","0.580","0.065","0.110","0.021","0.018","0.206","1.000","1"
"Alabama","0.558","0.070","0.104","0.040","0.024","0.205","1.000"
"Alaska","0.590","0.037","0.077","0.010","0.047","0.240","1.000"
"Arizona","0.524","0.070","0.128","0.020","0.021","0.238","1.000"
"Arkansas","0.521","0.063","0.106","0.041","0.025","0.244","1.000"
"California","0.533","0.077","0.123","0.013","0.013","0.241","1.000"
"Colorado","0.585","0.096","0.088","0.016","0.030","0.186","1.000"
"Connecticut","0.647","0.064","0.126","0.018","0.011","0.134","1.000"
"Delaware","0.617","0.039","0.160","0.026","0.016","0.143","1.000"
"District of Columbia","0.608","0.067","0.219","0.010","0.011","0.085","1.000"
"Florida","0.485","0.076","0.101","0.023","0.025","0.290","1.000"
"Georgia","0.549","0.060","0.080","0.022","0.028","0.261","1.000"
"Hawaii","0.659","0.058","0.115","0.016","0.051","0.101","1.000"
"Idaho","0.548","0.096","0.081","0.020","0.022","0.234","1.000"
"Illinois","0.618","0.063","0.108","0.018","0.009","0.184","1.000"
"Indiana","0.617","0.057","0.095","0.024","0.011","0.196","1.000"
"Iowa","0.657","0.084","0.108","0.017","0.010","0.125","1.000"
"Kansas","0.628","0.079","0.068","0.021","0.028","0.176","1.000"
"Kentucky","0.571","0.051","0.109","0.038","0.020","0.210","1.000"
"Louisiana","0.531","0.059","0.119","0.025","0.018","0.248","1.000"
"Maine","0.557","0.053","0.179","0.021","0.026","0.163","1.000"
"Maryland","0.659","0.061","0.100","0.016","0.022","0.142","1.000"
"Massachusetts","0.676","0.063","0.190","0.012","0.006","0.054","1.000"
"Michigan","0.602","0.064","0.138","0.024","0.010","0.162","1.000"
"Minnesota","0.665","0.087","0.114","0.015","0.010","0.109","1.000"
"Mississippi","0.509","0.049","0.131","0.033","0.028","0.250","1.000"
"Missouri","0.606","0.069","0.089","0.029","0.022","0.185","1.000"
"Montana","0.546","0.093","0.079","0.021","0.028","0.234","1.000"
"Nebraska","0.646","0.097","0.068","0.014","0.023","0.152","1.000"
"Nevada","0.568","0.049","0.067","0.019","0.025","0.272","1.000"
"New Hampshire","0.681","0.058","0.066","0.023","0.012","0.160","1.000"
"New Jersey","0.649","0.051","0.085","0.019","0.006","0.191","1.000"
"New Mexico","0.459","0.058","0.148","0.026","0.029","0.280","1.000"
"New York","0.594","0.049","0.178","0.018","0.007","0.155","1.000"
"North Carolina","0.544","0.075","0.095","0.027","0.029","0.229","1.000"
"North Dakota","0.651","0.110","0.064","0.013","0.027","0.136","1.000"
"Ohio","0.630","0.055","0.119","0.024","0.013","0.159","1.000"
"Oklahoma","0.555","0.057","0.085","0.029","0.027","0.247","1.000"
"Oregon","0.564","0.073","0.109","0.023","0.016","0.215","1.000"
"Pennsylvania","0.653","0.066","0.113","0.021","0.009","0.138","1.000"
"Rhode Island","0.627","0.057","0.119","0.021","0.009","0.168","1.000"
"South Carolina","0.554","0.053","0.104","0.029","0.030","0.230","1.000"
"South Dakota","0.584","0.118","0.078","0.020","0.024","0.177","1.000"
"Tennessee","0.554","0.066","0.121","0.031","0.024","0.204","1.000"
"Texas","0.534","0.054","0.074","0.018","0.021","0.299","1.000"
"Utah","0.642","0.080","0.067","0.015","0.017","0.178","1.000"
"Vermont","0.599","0.055","0.214","0.019","0.013","0.101","1.000"
"Virginia","0.629","0.065","0.059","0.025","0.047","0.174","1.000"
"Washington","0.598","0.072","0.086","0.018","0.027","0.200","1.000"
"West Virginia","0.564","0.032","0.135","0.048","0.017","0.205","1.000"
"Wisconsin","0.654","0.066","0.122","0.019","0.012","0.128","1.000"
"Wyoming","0.656","0.067","0.050","0.019","0.028","0.181","1.000"
"Puerto Rico","0.307","0.106","0.449","0.039","0.006","0.094","1.000"

"Notes"
"The American Community Survey did not release the 1-year estimates for 2020 due to significant disruptions to the data collection because of the coronavirus pandemic. "
""
"The majority of our health coverage topics are based on analysis of the Census Bureau’s American Community Survey (ACS) by KFF. ACS includes a 1% sample of the US population and allows for precise state-level estimates.   "
""
"The ACS asks respondents about their health insurance coverage at the time of the survey. Respondents may report having more than one type of coverage; however, individuals are sorted into only one category of insurance coverage. See definitions for more detail on coverage type."
""
"Data may not sum to totals due to rounding."
""
"Data include the civilian noninstitutionalized population in the United States."

"Sources"
"KFF estimates based on the 2008-2023 American Community Survey, 1-Year Estimates."

"Definitions"
"The ACS asks respondents about their health insurance coverage throughout the previous calendar year. Respondents may report having more than one type of coverage. In this analysis, individuals are sorted into only one category of insurance coverage using the following hierarchy:"
""
"*Medicaid*: Includes those covered by Medicaid, Medical Assistance, Children's Health Insurance Plan (CHIP) or any kind of government-assistance plan for those with low incomes or a disability, as well as those who have both Medicaid and another type of coverage, such as dual eligibles who are also covered by Medicare."
""
"*Employer*: Includes those covered through a current or former employer or union, either as policyholder or as dependent"
""
"*Medicare*: Includes those covered by Medicare, except dual eligibles who are covered by both Medicaid and Medicare and those covered by Medicare and employer-sponsored insurance who work full-time."
""
"*Military*: Includes those covered under the military or Veterans Administration"
""
"*Non-Group*: Includes those covered by a policy purchased directly from an insurance company, etiher as policyholder or as dependent"
""
"*Uninsured*: Includes those without health insurance and those who have coverage under the Indian Health Service only."
""
"*N/A*: Estimates with relative standard errors greater than 30% are not provided."


Footnotes
"1. US total excludes Puerto Rico."
