"Title: Health Insurance Coverage of Adults Ages 19-64 | KFF"
"Timeframe: 2023"
"Location","Employer","Non-Group","Medicaid","Medicare","Military","Uninsured","Total",Footnotes
"United States","0.610","0.084","0.165","0.016","0.015","0.111","1.000","1"
"Alabama","0.603","0.087","0.127","0.032","0.024","0.128","1.000"
"Alaska","0.525","0.074","0.189","0.015","0.055","0.143","1.000"
"Arizona","0.598","0.069","0.169","0.013","0.017","0.134","1.000"
"Arkansas","0.551","0.080","0.199","0.025","0.019","0.126","1.000"
"California","0.576","0.085","0.228","0.011","0.009","0.090","1.000"
"Colorado","0.639","0.090","0.149","0.009","0.022","0.092","1.000"
"Connecticut","0.640","0.068","0.192","0.013","0.007","0.080","1.000"
"Delaware","0.625","0.061","0.190","0.019","0.009","0.096","1.000"
"District of Columbia","0.698","0.054","0.200","0.005","0.009","0.035","1.000"
"Florida","0.537","0.156","0.111","0.018","0.023","0.155","1.000"
"Georgia","0.593","0.099","0.103","0.018","0.025","0.161","1.000"
"Hawaii","0.656","0.063","0.187","0.014","0.041","0.039","1.000"
"Idaho","0.605","0.090","0.146","0.014","0.020","0.125","1.000"
"Illinois","0.663","0.067","0.156","0.016","0.007","0.090","1.000"
"Indiana","0.648","0.064","0.171","0.017","0.009","0.091","1.000"
"Iowa","0.673","0.070","0.161","0.013","0.011","0.072","1.000"
"Kansas","0.666","0.087","0.090","0.017","0.021","0.120","1.000"
"Kentucky","0.585","0.047","0.246","0.026","0.015","0.080","1.000"
"Louisiana","0.530","0.062","0.272","0.021","0.014","0.100","1.000"
"Maine","0.602","0.085","0.192","0.018","0.018","0.085","1.000"
"Maryland","0.654","0.075","0.154","0.013","0.017","0.087","1.000"
"Massachusetts","0.667","0.071","0.213","0.009","0.005","0.036","1.000"
"Michigan","0.627","0.068","0.218","0.018","0.007","0.062","1.000"
"Minnesota","0.694","0.072","0.157","0.013","0.008","0.056","1.000"
"Mississippi","0.569","0.087","0.142","0.029","0.020","0.154","1.000"
"Missouri","0.653","0.072","0.129","0.025","0.015","0.106","1.000"
"Montana","0.544","0.109","0.189","0.011","0.028","0.120","1.000"
"Nebraska","0.662","0.099","0.120","0.012","0.017","0.090","1.000"
"Nevada","0.586","0.070","0.163","0.017","0.019","0.145","1.000"
"New Hampshire","0.703","0.091","0.104","0.026","0.012","0.065","1.000"
"New Jersey","0.657","0.075","0.147","0.015","0.004","0.101","1.000"
"New Mexico","0.473","0.060","0.297","0.020","0.020","0.130","1.000"
"New York","0.590","0.070","0.253","0.014","0.004","0.069","1.000"
"North Carolina","0.597","0.099","0.125","0.019","0.027","0.133","1.000"
"North Dakota","0.703","0.102","0.096","0.013","0.032","0.054","1.000"
"Ohio","0.643","0.060","0.184","0.019","0.010","0.084","1.000"
"Oklahoma","0.555","0.074","0.158","0.026","0.023","0.163","1.000"
"Oregon","0.609","0.077","0.210","0.014","0.011","0.079","1.000"
"Pennsylvania","0.650","0.074","0.178","0.018","0.009","0.072","1.000"
"Rhode Island","0.635","0.078","0.200","0.017","0.010","0.060","1.000"
"South Carolina","0.588","0.098","0.133","0.022","0.029","0.130","1.000"
"South Dakota","0.647","0.112","0.084","0.011","0.028","0.117","1.000"
"Tennessee","0.603","0.090","0.133","0.022","0.019","0.133","1.000"
"Texas","0.579","0.091","0.080","0.014","0.019","0.217","1.000"
"Utah","0.689","0.107","0.084","0.009","0.011","0.100","1.000"
"Vermont","0.631","0.088","0.205","0.019","0.006","0.050","1.000"
"Virginia","0.643","0.069","0.141","0.018","0.042","0.088","1.000"
"Washington","0.654","0.065","0.161","0.012","0.018","0.090","1.000"
"West Virginia","0.582","0.039","0.241","0.032","0.015","0.092","1.000"
"Wisconsin","0.687","0.077","0.147","0.012","0.010","0.065","1.000"
"Wyoming","0.609","0.112","0.083","0.019","0.023","0.154","1.000"
"Puerto Rico","0.318","0.113","0.450","0.034","0.006","0.079","1.000"

"Notes"
"The American Community Survey did not release the 1-year estimates for 2020 due to significant disruptions to the data collection because of the coronavirus pandemic. "
""
"The majority of our health coverage topics are based on analysis of the Census Bureau’s American Community Survey (ACS) by KFF. ACS includes a 1% sample of the US population and allows for precise state-level estimates.   "
""
"The ACS asks respondents about their health insurance coverage at the time of the survey. Respondents may report having more than one type of coverage; however, individuals are sorted into only one category of insurance coverage. See definitions for more detail on coverage type."
""
"Data may not sum to totals due to rounding."
""
"Data include the civilian noninstitutionalized population in the United States."

"Sources"
"KFF estimates based on the 2008-2023 American Community Survey, 1-Year Estimates."

"Definitions"
"The ACS asks respondents about their health insurance coverage throughout the previous calendar year. Respondents may report having more than one type of coverage. In this analysis, individuals are sorted into only one category of insurance coverage using the following hierarchy:"
""
"*Medicaid*: Includes those covered by Medicaid, Medical Assistance, Children's Health Insurance Plan (CHIP) or any kind of government-assistance plan for those with low incomes or a disability, as well as those who have both Medicaid and another type of coverage, such as dual eligibles who are also covered by Medicare."
""
"*Employer*: Includes those covered through a current or former employer or union, either as policyholder or as dependent"
""
"*Medicare*: Includes those covered by Medicare, except dual eligibles who are covered by both Medicaid and Medicare and those covered by Medicare and employer-sponsored insurance who work full-time."
""
"*Military*: Includes those covered under the military or Veterans Administration"
""
"*Non-Group*: Includes those covered by a policy purchased directly from an insurance company, etiher as policyholder or as dependent"
""
"*Uninsured*: Includes those without health insurance and those who have coverage under the Indian Health Service only."
""
"*N/A*: Estimates with relative standard errors greater than 30% are not provided."


Footnotes
"1. US total excludes Puerto Rico."
